,a/c,a/t,c/b,phi,F,Mg
429,1.0,0.8,0.4,0.7854,1.239,1.13974
251,0.6,0.2,0.2,2.55254,0.982,1.13082
356,1.0,0.4,0.4,3.14159,1.293,1.2416
32,0.2,0.4,0.2,2.94524,0.775,1.45887
412,1.0,0.8,0.2,0.7854,1.193,1.16937
496,2.0,0.4,0.2,0.58905,0.708,0.7487
325,1.0,0.4,0.2,0.3927,1.157,1.14556
266,0.6,0.4,0.2,2.15984,1.093,1.1434
80,0.2,0.6,0.4,2.35619,1.425,1.57765
393,1.0,0.6,0.6,0.3927,1.487,1.28361
