a/c,a/t,c/b,phi,F,Mg
0.55,0.4,0.2,2.11527,1.11219,1.15974
0.25,0.8,0.3,1.04622,1.73096,1.7681
1.8,0.4,0.2,1.3424,0.59372,0.76754
0.5,0.8,0.2,2.39343,1.29974,1.4493
1.8,0.8,0.15,0.74924,0.73326,0.7987
0.7,0.4,0.01,2.54898,1.03017,1.14768
1.4,0.7,0.15,2.84843,0.99867,0.99933
0.4,0.6,0.01,1.64941,1.33244,1.33412
1.4,0.4,0.1,2.99564,0.97886,0.97899
0.35,0.8,0.3,2.83538,1.30112,1.85337
0.4,0.2,0.1,2.74084,0.85382,1.16424
0.65,0.8,0.3,2.24804,1.2691,1.2928
1.0,0.6,0.15,0.74468,1.14479,1.13524
0.25,0.4,0.05,0.74546,1.1172,1.33188
0.4,0.4,0.1,0.42952,0.94876,1.27283
2.0,0.8,0.15,1.35784,0.53665,0.72727
0.4,0.7,0.01,0.89339,1.32088,1.4599
1.2,0.3,0.1,2.09106,0.89656,0.95534
1.1,0.5,0.2,1.79949,0.98555,1.01814
1.5,0.5,0.05,0.74538,0.80748,0.86864
1.9,0.5,0.05,2.99562,0.82351,0.82605
0.35,0.5,0.2,1.34117,1.31246,1.3114
0.4,0.3,0.15,1.96174,1.11963,1.15182
0.8,0.2,0.05,0.15362,1.04506,1.16424
0.4,0.3,0.3,0.26189,0.86262,1.24376
0.5,0.6,0.01,0.14157,1.10867,1.54526
0.4,0.5,0.3,0.4372,1.03334,1.34559
1.4,0.2,0.1,2.84931,0.91738,0.92581
0.7,0.3,0.2,2.84217,1.00282,1.16421
1.3,0.4,0.1,2.85656,0.97974,0.98537
1.7,0.5,0.15,0.8927,0.71014,0.80015
0.2,0.8,0.2,0.02686,1.21787,2.65788
0.6,0.3,0.05,1.35476,1.0981,1.10581
0.25,0.3,0.01,2.10034,1.13122,1.21122
0.55,0.6,0.1,2.0901,1.20029,1.25354
1.8,0.3,0.05,1.19107,0.60652,0.76059
0.45,0.5,0.2,2.53116,1.08859,1.30228
1.1,0.2,0.01,0.43674,1.02308,1.03117
0.8,0.7,0.01,0.90162,1.15614,1.2
1.8,0.5,0.1,2.55494,0.74544,0.78872
0.45,0.3,0.2,1.80464,1.12924,1.1332
0.25,0.8,0.01,1.95164,1.67198,1.7309
2.0,0.6,0.05,0.304,0.76453,0.77722
0.55,0.8,0.1,2.83479,1.24909,1.59786
0.35,0.4,0.01,2.69546,0.93651,1.28074
0.6,0.3,0.01,0.89483,1.04364,1.12164
0.65,0.2,0.2,0.94571,1.03905,1.09247
0.55,0.4,0.1,2.27238,1.07817,1.17189
0.5,0.6,0.3,1.9556,1.26678,1.25901
0.4,0.4,0.01,0.07717,0.91687,1.43857
0.35,0.6,0.05,0.90026,1.29503,1.43483
1.1,0.3,0.2,2.55649,1.02714,1.03349
0.55,0.8,0.15,0.03359,1.38273,1.84254
0.55,0.7,0.2,2.09729,1.25296,1.29236
0.25,0.3,0.05,1.50197,1.21754,1.21833
1.1,0.2,0.01,2.53986,1.00153,1.01595
0.65,0.2,0.1,1.80314,1.07092,1.07795
0.65,0.8,0.2,1.79649,1.22985,1.21437
1.4,0.8,0.15,2.25027,0.85157,0.91945
0.6,0.4,0.01,1.80843,1.12361,1.13377
1.4,0.3,0.15,0.60091,0.86451,0.89835
0.65,0.6,0.3,0.58803,1.15507,1.26833
0.8,0.2,0.01,1.06112,1.03122,1.05456
1.9,0.3,0.1,2.0949,0.61024,0.74039
0.3,0.6,0.3,2.38974,1.31739,1.50338
1.4,0.4,0.1,1.95093,0.76663,0.8772
0.55,0.8,0.3,2.98989,1.33806,1.70151
0.55,0.6,0.15,1.3398,1.22713,1.22828
0.35,0.7,0.3,2.99761,1.19201,1.87058
1.5,0.3,0.01,2.55326,0.81822,0.85751
1.4,0.8,0.1,0.59999,0.91896,0.95407
0.65,0.5,0.05,2.52991,1.07968,1.21929
0.3,0.3,0.3,2.57011,0.93815,1.19406
0.7,0.4,0.2,0.75076,1.05738,1.13365
1.6,0.7,0.01,1.34311,0.65662,0.8148
0.2,0.4,0.05,2.85118,0.82945,1.4122
0.4,0.6,0.15,2.09734,1.29445,1.3625
0.35,0.4,0.05,2.69546,0.94077,1.2858
0.45,0.7,0.3,0.31089,1.19162,1.5781
0.5,0.7,0.15,1.65559,1.29552,1.28464
1.1,0.4,0.1,2.25656,0.99464,1.01979
0.8,0.4,0.01,1.64508,1.08113,1.08164
0.65,0.6,0.1,0.58803,1.12879,1.27769
0.25,0.3,0.01,0.10752,0.70942,1.3634
0.65,0.8,0.1,2.40658,1.21717,1.33267
0.9,0.2,0.15,0.31641,1.07091,1.1194
1.4,0.4,0.01,0.60469,0.86209,0.90002
1.4,0.5,0.2,0.44369,0.92739,0.93784
1.8,0.4,0.1,1.93753,0.60728,0.76291
1.7,0.7,0.15,0.15178,0.9222,0.91667
0.55,0.3,0.2,2.10679,1.07477,1.12172
0.25,0.8,0.3,2.09464,1.73108,1.76788
1.8,0.8,0.05,1.95607,0.61765,0.77268
0.35,0.7,0.15,1.80316,1.4468,1.44989
1.8,0.6,0.01,2.09514,0.64089,0.76917
0.4,0.6,0.01,0.16274,1.06639,1.63249
0.6,0.6,0.05,0.04041,1.1995,1.54599
1.1,0.7,0.15,1.65169,0.98904,1.02687
0.6,0.7,0.1,2.69152,1.17794,1.40825
2.0,0.5,0.01,2.70684,0.72451,0.75081
1.3,0.8,0.2,2.70209,1.03795,1.03711
1.4,0.5,0.2,2.09898,0.80662,0.89257
1.7,0.4,0.01,0.75541,0.72347,0.79303
0.45,0.5,0.01,1.3428,1.22536,1.23813
0.9,0.4,0.01,0.74554,1.07516,1.10462
0.45,0.5,0.2,1.05458,1.20174,1.25275
1.5,0.2,0.05,0.88048,0.76059,0.84051
0.5,0.3,0.3,2.84647,0.92295,1.21289
0.35,0.5,0.2,1.79966,1.3129,1.31174
1.9,0.6,0.2,2.24739,0.66404,0.75607
0.35,0.6,0.05,1.04085,1.33118,1.4171
1.0,0.4,0.1,2.10809,1.07714,1.07448
0.25,0.6,0.05,0.75814,1.34996,1.59935
1.0,0.2,0.15,1.48864,1.04462,1.04172
0.9,0.7,0.01,1.80343,1.11786,1.12065
0.6,0.7,0.05,2.23835,1.20379,1.29013
0.35,0.4,0.15,0.76692,1.0845,1.25517
0.25,0.3,0.05,1.80565,1.20224,1.21744
1.5,0.3,0.15,1.04703,0.74312,0.84674
0.6,0.2,0.01,1.24455,1.06586,1.08412
